"Date","JyskeBank","SP500"
2013-05-27,236,1654.83
2013-05-28,238.2,1660.06
2013-05-29,234.5,1648.36
2013-05-30,234.6,1654.41
2013-05-31,228.4,1630.74
2013-06-03,228.9,1640.42
2013-06-04,227,1631.38
2013-06-06,221.9,1622.56
2013-06-07,225.3,1643.38
2013-06-10,225.5,1642.81
2013-06-11,217.8,1626.13
2013-06-12,216.7,1612.52
2013-06-13,218.3,1636.36
2013-06-14,219.6,1626.73
2013-06-17,221,1639.04
2013-06-18,220.2,1651.81
2013-06-19,218,1628.93
2013-06-20,212.9,1588.19
2013-06-21,212,1592.43
2013-06-24,210.6,1573.09
2013-06-25,212.5,1588.03
2013-06-26,216,1603.26
2013-06-27,216,1613.2
2013-06-28,216,1606.28
2013-07-01,215.5,1614.96
2013-07-02,216.3,1614.08
2013-07-03,213.6,1615.41
2013-07-04,221.8,1623.65
2013-07-05,222,1631.89
2013-07-08,230.3,1640.46
2013-07-09,232.5,1652.32
2013-07-10,232.9,1652.62
2013-07-11,233,1675.02
2013-07-12,233.5,1680.19
2013-07-15,237.4,1682.5
2013-07-16,234.2,1676.26
2013-07-17,236.3,1680.91
2013-07-18,240.1,1689.37
2013-07-19,239.4,1692.09
2013-07-22,240.2,1695.53
2013-07-23,243,1692.39
2013-07-24,244,1685.94
2013-07-25,243.3,1690.25
2013-07-26,240.2,1691.65
2013-07-29,242.5,1685.33
2013-07-30,245.1,1685.96
2013-07-31,245.8,1685.73
2013-08-01,252,1706.87
2013-08-02,255.5,1709.67
2013-08-05,253.9,1707.14
2013-08-06,250.1,1697.37
2013-08-07,254.6,1690.91
2013-08-08,258,1697.48
